# D  excess(D) = (u^[D] - 1/2)  for N=1200, D=0..500
# Columns: D  excess(D)
0	1.90768192221661081e+00
1	1.10512128147774047e+00
2	7.84097025182192486e-01
3	6.07548415799598951e-01
4	4.96387869962286121e-01
5	4.14519104381992409e-01
6	3.51605687110674914e-01
7	3.06024352953302603e-01
8	2.67738506988694891e-01
9	2.38021704390986688e-01
10	2.12269492546241084e-01
11	1.87323581270311235e-01
12	1.69371456467411863e-01
13	1.51833531540059352e-01
14	1.38918855739872171e-01
15	1.26083387874336733e-01
16	1.16110099186176277e-01
17	1.06636658627231970e-01
18	9.66485959688509338e-02
19	8.95110589995318784e-02
20	8.20438573681159938e-02
21	7.62134328513547482e-02
22	7.05699067219628939e-02
23	6.40988025166227965e-02
24	5.97121170003092755e-02
25	5.47073851046280604e-02
26	5.11768173429681603e-02
27	4.73629179160300270e-02
28	4.44341987601225355e-02
29	4.15416947703527439e-02
30	3.81520209469709479e-02
31	3.58207261853510373e-02
32	3.31964181351229945e-02
33	3.12063662499545320e-02
34	2.92147481685513660e-02
35	2.67851401766399724e-02
36	2.51958314841548014e-02
37	2.32801590593182048e-02
38	2.19650295119405772e-02
39	2.04867229369868273e-02
40	1.93583848275614215e-02
41	1.82369027293673124e-02
42	1.68639393854648316e-02
43	1.59334391252850503e-02
44	1.48670273321280990e-02
45	1.40576250674372058e-02
46	1.32493717901372259e-02
47	1.22433506892671625e-02
48	1.15723415883248141e-02
49	1.07873473030390549e-02
50	1.01971198646105942e-02
51	9.59452673859690144e-03
52	8.83325818825798220e-03
53	8.34821588561873544e-03
54	7.74135508173211771e-03
55	7.33454038910668141e-03
56	6.86144313998901609e-03
57	6.50354514877584527e-03
58	6.14330647993824655e-03
59	5.68973200450278386e-03
60	5.38954355811134284e-03
61	5.03428494872053961e-03
62	4.76831203899724058e-03
63	4.49528583814449122e-03
64	4.14673011722135713e-03
65	3.92611156266088699e-03
66	3.64715325617767303e-03
67	3.46101516117827300e-03
68	3.24311400591988878e-03
69	3.07847191068263320e-03
70	2.91241409200244722e-03
71	2.70156456319825414e-03
72	2.56247589969549458e-03
73	2.39694650103982774e-03
74	2.27320178879192444e-03
75	2.14585512471881373e-03
76	1.98238060277056670e-03
77	1.87916520194211225e-03
78	1.74800728374216474e-03
79	1.66058460864871530e-03
80	1.55802682013248374e-03
81	1.48051029151257188e-03
82	1.40230346394303517e-03
83	1.30255862198623302e-03
84	1.23676244382677869e-03
85	1.15834837232484068e-03
86	1.09969976449502890e-03
87	1.03937491757078067e-03
88	9.61716780207981926e-04
89	9.12605666308095647e-04
90	8.50266909956658113e-04
91	8.08601096833656374e-04
92	7.59859054793997454e-04
